         7076151 function calls (6986028 primitive calls) in 66.852 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      216    0.001    0.000    0.001    0.000 __init__.py:872(get_siblings)
      216    0.000    0.000    0.000    0.000 __init__.py:876(<listcomp>)
      137    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:890(VarStoreData)
        1    0.000    0.000    0.000    0.000 __init__.py:92(Data)
        1    0.000    0.000    0.000    0.000 __init__.py:943(FDSelect)
       13    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:97(SourceDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:98(get_projection_class)
        1    0.000    0.000    0.000    0.000 _a_n_k_r.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _a_n_k_r.py:10(table__a_n_k_r)
        1    0.000    0.000    0.002    0.002 _axes.py:1388(plot)
        1    0.000    0.000    0.000    0.000 _b_s_l_n.py:1(<module>)
